,Neighborhoods
0,Chastain Park
1,Kingswood
2,Margaret Mitchell
3,Mt. Paran Parkway
4,Mt. Paran/Northside
5,Paces
6,Pleasant Hill
7,Randall Mill
8,Tuxedo Park
9,West Paces Ferry/Northside
10,Brookhaven
11,Buckhead Forest
12,Buckhead Village
13,East Chastain Park
14,Garden Hills
15,Lenox
16,Lindbergh/Morosgo
17,North Buckhead
18,Peachtree Heights East
19,Peachtree Heights West
20,Peachtree Hills
21,Peachtree Park
22,Pine Hills
23,Ridgedale Park
24,Berkeley Park
25,Blandtown
26,Bolton
27,Hills Park
28,Riverside
29,Underwood Hills
30,Almond Park
31,Atlanta Industrial Park
32,Bolton Hills
33,Brookview Heights
34,Carey Park
35,Carver Hills
36,Chattahoochee
37,English Park
38,Lincoln Homes
39,Monroe Heights
40,Rockdale
41,Scotts Crossing
42,Adamsville
43,Baker Hills
44,Bakers Ferry
45,Bankhead Courts
46,Bankhead/Bolton
47,Boulder Park
48,Carroll Heights
49,Fairburn Heights
50,Fairburn Road/Wisteria Lane
51,Fairburn Mays
52,Mays
53,Oakcliff
54,Old Gordon
55,Ridgecrest Forest
56,Wildwood
57,Wilson Mill Meadows
58,Audobon Forest
59,Audobon Forest West
60,Beecher Hills
61,Cascade Heights
62,Chalet Woods
63,Collier Heights
64,East Ardley Road
65,Florida Heights
66,Green Acres Valley
67,Green Forest Acres
68,Harland Terrace
69,Horseshoe Community
70,Ivan Hill
71,Magnum Manor
72,Peyton Forest
73,Rosalie H. Wright Community Council
74,West Manor
75,Westhaven
76,Center Hill
77,Dixie Hills
78,Grove Park
79,Harvel Homes Community
80,Penelope Neighbors
81,Bankhead
82,Hunter Hills
83,Knight Park/Howell Station
84,Mozley Park
85,English Avenue
86,Castleberry Hill
87,Downtown
88,Old Fourth Ward
89,Cabbagetown
90,Candler Park
91,Druid Hills
92,Inman Park
93,Lake Clair
94,Poncey-Highland
95,East Lake
96,Edgewood
97,Kirkwood
98,Arlington Estates
99,Ashley Courts
100,Ben Hill
101,Ben Hill Acres
102,Ben Hill Forest
103,Ben Hill Pines
104,Ben Hill Terrace
105,Brentwood
106,Briar Glen
107,Butner/Tell
108,Cascade Green
109,Deerwood
110,Elmco Estates
111,Fairburn
112,Fairburn Tell
113,Fairway Acres
114,Greenbriar Village
115,Heritage Valley
116,Huntington
117,Kings Forest
118,Lake Estates
119,Meadowbrook Forest
120,Mellwood
121,Mt. Gilead Woods
122,Niskey Cove
123,Niskey Lake
124,Old Fairburn Village
125,Princeton Lakes
126,Rue Royal
127,Sandlewood Estates
128,Tampa Park
129,"a name=""Q"">Midwest Cascade"
130,Bush Mountain
131,Cascade Avenue/Road
132,Fort McPherson
133,Oakland City
134,Venetian Hills
135,Ashview Heights
136,Atlanta University Center
137,Harris Chiles
138,Just Us
139,The Villages at Castleberry Hill
140,West End
141,Adair Park
142,Capitol Gateway
143,Mechanicsville
144,Peoplestown
145,Pittsburgh
146,Benteen Park
147,Boulevard Heights
148,Custer/McDonough/Guice
149,East Atlanta
150,Grant Park
151,Oakland
152,Ormewood Park
153,State Facility
154,Capitol View
155,Capitol View Manor
156,Hammond Park
157,Perkerson
158,Amal Heights
159,Betmar LaVilla
160,Chosewood Park
161,Englewood Manor
162,High Point
163,Joyland
164,Lakewood Heights
165,South Atlanta
166,Blair Villa/Poole Creek
167,Browns Mill Park
168,Glenrose Heights
169,Lakewood
170,Leila Valley
171,Norwood Manor
172,Orchard Knob
173,Polar Rock
174,Rebel Valley Forest
175,Rosedale Heights
176,South River Gardens
177,Swallow Circle/Baywood
