Area,Neighborhood,area_longitude,area_latitude,hood_longitude,hood_latitude
CBD-Downtown,CBD-Downtown,-94.5787868,39.0917491,-94.5787868,39.0917491
Greater Downtown,18th and Vine,No Data Found,No Data Found,-94.55388639189565,39.09444044999999
Greater Downtown,Beacon Hill-McFeders,No Data Found,No Data Found,No Data Found,No Data Found
Greater Downtown,Columbus Park,No Data Found,No Data Found,-94.5703817,39.110399
Greater Downtown,Crossroads,No Data Found,No Data Found,-94.5837436,39.0901009
Greater Downtown,Hospital Hill,No Data Found,No Data Found,-94.5753134,39.0844079
Greater Downtown,Library District,No Data Found,No Data Found,-94.5829967,39.1032931
Greater Downtown,Longfellow/Dutch Hill,No Data Found,No Data Found,No Data Found,No Data Found
Greater Downtown,Quality Hill,No Data Found,No Data Found,-94.590331,39.1018009
Greater Downtown,River Market,No Data Found,No Data Found,-94.58115944495933,39.11323435
Greater Downtown,Union Hill,No Data Found,No Data Found,-94.5821825,39.0721228
Greater Downtown,West Side,No Data Found,No Data Found,-94.5958725,39.0898364
East Side,Ashland Ridge,-94.5958725,39.0898364,-94.47315527177707,39.05739105
East Side,Blue Hills,-94.5958725,39.0898364,-94.5614687,39.0287169
East Side,Blue Valley,-94.5958725,39.0898364,-94.3054882,39.1174763
East Side,Boulevard Village,-94.5958725,39.0898364,-94.6057849,38.8833216
East Side,Brown Estates,-94.5958725,39.0898364,No Data Found,No Data Found
East Side,Country Valley-Hawthorne Square,-94.5958725,39.0898364,No Data Found,No Data Found
East Side,Cunningham Ridge,-94.5958725,39.0898364,No Data Found,No Data Found
East Side,Dunbar,-94.5958725,39.0898364,-94.5208302,39.0619208
East Side,East 23rd Street P.A.C.,-94.5958725,39.0898364,No Data Found,No Data Found
East Side,Eastwood Hills,-94.5958725,39.0898364,-94.50222352436685,39.0369897
East Side,Glen Lake,-94.5958725,39.0898364,-94.42818180226375,39.016779
East Side,Glen Oaks,-94.5958725,39.0898364,-94.42262355087091,39.0231494
East Side,Ingleside,-94.5958725,39.0898364,-94.540041,39.0725385
East Side,Ivanhoe,-94.5958725,39.0898364,-94.5633988,39.0638311
East Side,Key Coalition,-94.5958725,39.0898364,-94.5566647,39.0653613
East Side,Knoches Park,-94.5958725,39.0898364,-94.5317592,39.067043
East Side,Leeds,-94.5958725,39.0898364,-94.5085648,39.0558384
East Side,Mount Cleveland,-94.5958725,39.0898364,-94.53691775796014,39.09551225
East Side,Oak Park,-94.5958725,39.0898364,-94.55033199960042,39.04727215
East Side,Palestine,-94.5958725,39.0898364,-94.5371105,39.0613602
East Side,Parkview,-94.5958725,39.0898364,-94.56430143265422,39.10154955
East Side,Riss Lake,-94.5958725,39.0898364,-94.45826361067586,39.0426988
East Side,Santa Fe,-94.5958725,39.0898364,-94.5479263,39.0725825
East Side,Sheraton Estates,-94.5958725,39.0898364,-94.53170495082801,39.0318975
East Side,Stayton Meadows,-94.5958725,39.0898364,No Data Found,No Data Found
East Side,Sterling Acres,-94.5958725,39.0898364,-94.44557761050245,39.040436650000004
East Side,Sterling Gardens,-94.5958725,39.0898364,-94.45247639030887,39.035173799999995
East Side,Vineyard,-94.5958725,39.0898364,-94.5272291,39.0509937
East Side,Vineyard Estates,-94.5958725,39.0898364,-94.51862197729864,39.05213635
East Side,Washington-Wheatley,-94.5958725,39.0898364,-94.5471853,39.0810097
East Side,Wendell Phillips,-94.5958725,39.0898364,-94.5582505,39.0817826
Midtown-Westport,Center City,-94.58486726352675,39.0544699,-94.5691149,39.0654846
Midtown-Westport,Coleman Highlands,-94.58486726352675,39.0544699,-94.59712904485545,39.06804715
Midtown-Westport,Hanover Place,-94.58486726352675,39.0544699,-94.5880594,39.0596232
Midtown-Westport,Hyde Park,-94.58486726352675,39.0544699,-94.57652239467822,39.058056199999996
Midtown-Westport,Manheim Park,-94.58486726352675,39.0544699,-94.5726848,39.0487323
Midtown-Westport,Mount Hope,-94.58486726352675,39.0544699,-94.564448,39.0723142
Midtown-Westport,"Old Hyde Park Historic District, Inc.",-94.58486726352675,39.0544699,No Data Found,No Data Found
Midtown-Westport,Old Westport,-94.58486726352675,39.0544699,-94.59168487647904,39.053992199999996
Midtown-Westport,Plaza Westport,-94.58486726352675,39.0544699,-94.5946418,39.0462074
Midtown-Westport,Roanoke,-94.58486726352675,39.0544699,-94.5974593,39.0610522
Midtown-Westport,Southmoreland,-94.58486726352675,39.0544699,-94.5829643,39.0515654
Midtown-Westport,Squier Park,-94.58486726352675,39.0544699,-94.5692515,39.0605413
Midtown-Westport,Valentine,-94.58486726352675,39.0544699,-94.5933779,39.0601501
Midtown-Westport,Volker,-94.58486726352675,39.0544699,-94.6018818,39.0542734
Midtown-Westport,Westport,-94.58486726352675,39.0544699,-94.59168487647904,39.053992199999996
Northeast,Forgotten Homes,-94.6057849,38.8833216,No Data Found,No Data Found
Northeast,Independence Plaza,-94.6057849,38.8833216,-94.5478387,39.1028448
Northeast,Indian Mound,-94.6057849,38.8833216,-94.50945411139134,39.1183255
Northeast,Lykins,-94.6057849,38.8833216,-94.5368385,39.1018862
Northeast,Northeast Industrial District,-94.6057849,38.8833216,No Data Found,No Data Found
Northeast,Paseo West,-94.6057849,38.8833216,-94.56779,39.050544
Northeast,Pendleton Heights,-94.6057849,38.8833216,-94.5552449,39.1098454
Northeast,Scarritt Point,-94.6057849,38.8833216,-94.5396103,39.10958
Northeast,Sheffield,-94.6057849,38.8833216,-94.5076113,39.1008009
Northland,Antioch Acres,-94.5409801230154,39.308695549999996,-94.55701392451863,39.18280865
Northland,Barry Harbour,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Barry Heights,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Barry Woods/ Park Hill,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Beacon Hill,-94.5409801230154,39.308695549999996,-94.5688724,39.0796811
Northland,Beulmar Acres,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Birmingham Bottoms,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Bradford Place,-94.5409801230154,39.308695549999996,-94.6517118,39.2656786
Northland,Breen Hills,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Briarcliff,-94.5409801230154,39.308695549999996,-94.59944131439495,39.1623933
Northland,Briarcliff West,-94.5409801230154,39.308695549999996,-94.59887577943925,39.176807249999996
Northland,Chaumiere,-94.5409801230154,39.308695549999996,-94.53980924371862,39.17267965
Northland,Chouteau Estates,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Claymont,-94.5409801230154,39.308695549999996,-94.5894312629496,39.1718517
Northland,Claymont North,-94.5409801230154,39.308695549999996,-94.58418645564942,39.1766182
Northland,Clayton,-94.5409801230154,39.308695549999996,-94.5940473614243,39.21055415
Northland,Colonial Square,-94.5409801230154,39.308695549999996,-94.57408278327043,38.977355849999995
Northland,Cooley Highlands,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Country Club Estates-Big Shoal,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Coves North,-94.5409801230154,39.308695549999996,-94.63773666078558,39.24290805
Northland,Crestview Homes Association 1,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Davidson,-94.5409801230154,39.308695549999996,-94.4795354,39.23345585
Northland,Dearfield,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Foxwoods-Carriage Hills,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Gashland,-94.5409801230154,39.308695549999996,-94.5756449,39.2463545
Northland,Glenhaven,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Gracemor-Randolph Corners,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Greenwood,-94.5409801230154,39.308695549999996,-94.491987,38.921242
Northland,Harlem,-94.5409801230154,39.308695549999996,-94.5869003,39.1177819
Northland,Highland View,-94.5409801230154,39.308695549999996,-94.56471774974851,39.25211765
Northland,Hill Haven,-94.5409801230154,39.308695549999996,-94.53962126064292,38.925175800000005
Northland,Holiday Hills,-94.5409801230154,39.308695549999996,-94.55524502674018,39.02875925
Northland,Jefferson Highlands,-94.5409801230154,39.308695549999996,-94.57846589518905,39.2401759
Northland,KCI,-94.5409801230154,39.308695549999996,-94.72040107610091,39.29962795
Northland,Lakeview Terrace,-94.5409801230154,39.308695549999996,-94.49922686812641,38.98731165
Northland,Linden Park,-94.5409801230154,39.308695549999996,-94.5708276615745,38.95215875
Northland,Line Creek-Northern Heights,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Maple Park,-94.5409801230154,39.308695549999996,-94.54461972184528,39.23458545
Northland,Maple Park West,-94.5409801230154,39.308695549999996,-94.54461972184528,39.23458545
Northland,Milton,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Minneville,-94.5409801230154,39.308695549999996,-94.4625,39.1641667
Northland,Meadowbrook Heights,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Nashua,-94.5409801230154,39.308695549999996,-94.5799552,39.3005569
Northland,New Mark,-94.5409801230154,39.308695549999996,-94.57043108868501,39.27981165
Northland,Northhaven Gardens,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Outer Gashland-Nashua,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Parkdale-Walden,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Park Forest,-94.5409801230154,39.308695549999996,-94.6057849,38.8833216
Northland,Park Hill South/ South Platte,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Park Plaza,-94.5409801230154,39.308695549999996,-94.64181882599027,39.21605085
Northland,Platte Brook North,-94.5409801230154,39.308695549999996,-94.6860695,39.3027789
Northland,Platte Ridge,-94.5409801230154,39.308695549999996,-94.6860695,39.3027789
Northland,Platte Woods,-94.5409801230154,39.308695549999996,-94.6589123,39.2286816
Northland,Prairie Point-Wildberry,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Ravenwood-Somerset,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Riss Lake,-94.5409801230154,39.308695549999996,-94.45826361067586,39.0426988
Northland,River Forest,-94.5409801230154,39.308695549999996,-94.6057849,38.8833216
Northland,River View,-94.5409801230154,39.308695549999996,-94.6057849,38.8833216
Northland,Royal Oaks North,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Sherrydale,-94.5409801230154,39.308695549999996,-94.5827228327521,39.25446125
Northland,Sherwood Estates,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Shoal Creek,-94.5409801230154,39.308695549999996,-94.5847591,39.2623087
Northland,Staley Farms,-94.5409801230154,39.308695549999996,-94.5559353,39.2847998
Northland,Tanglewood-Regency North,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,The Coves,-94.5409801230154,39.308695549999996,-94.63773666078558,39.24290805
Northland,Winnetonka,-94.5409801230154,39.308695549999996,-94.50970788732349,39.1782216
Northland,Winnwood-Sunnybrook,-94.5409801230154,39.308695549999996,No Data Found,No Data Found
Northland,Winnwood Gardens,-94.5409801230154,39.308695549999996,-94.52761566752154,39.1713501
Plaza area,Brookside,-94.51030195,39.232123650000005,-94.58965909439942,39.0136581
Plaza area,Countryside,-94.51030195,39.232123650000005,-94.5881587,39.0293425
Plaza area,Country Club,-94.51030195,39.232123650000005,-94.5952821,39.0207926
Plaza area,Country Club Plaza,-94.51030195,39.232123650000005,-94.5927959,39.0420441
Plaza area,Country Club District,-94.51030195,39.232123650000005,-94.5997065,39.017719
Plaza area,Park Central-Research,-94.51030195,39.232123650000005,-94.57549857555122,39.0371088
Plaza area,West Plaza,-94.51030195,39.232123650000005,-94.6029041,39.0445999
Plaza area,Westport,-94.51030195,39.232123650000005,-94.59168487647904,39.053992199999996
Plaza area,South Plaza,-94.51030195,39.232123650000005,-94.5889475,39.0370968
Plaza area,Sunset Hill,-94.51030195,39.232123650000005,-94.6004583,39.0318316
Plaza area,Rockhill,-94.51030195,39.232123650000005,-94.5772237,39.0439402
Plaza area,Westwood Park,-94.51030195,39.232123650000005,-94.60636308214222,39.04139165
South Kansas City,49-63 Coalition,-94.6057849,38.8833216,-94.5566647,39.0653613
South Kansas City,Armour Fields,-94.6057849,38.8833216,-94.5983016,39.0048391
South Kansas City,Armour Hills,-94.6057849,38.8833216,-94.588570284712,39.004701600000004
South Kansas City,Bannister Acres,-94.6057849,38.8833216,-94.50314181552572,38.94650665
South Kansas City,Battleflood Heights,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Boone Hills,-94.6057849,38.8833216,-94.58402432279303,38.96266825
South Kansas City,Blue Hills Estates,-94.6057849,38.8833216,-94.60357748905209,38.8956007
South Kansas City,Blue Vue Hills,-94.6057849,38.8833216,-94.42366351548417,39.02883075
South Kansas City,Blue Ridge Farm,-94.6057849,38.8833216,-94.3054882,39.1174763
South Kansas City,Bridlespur,-94.6057849,38.8833216,-94.5900154513748,38.9354548
South Kansas City,Calico Farms,-94.6057849,38.8833216,-94.55268601918152,38.92178355
South Kansas City,Citadel,-94.6057849,38.8833216,-94.56477946430408,39.01660375
South Kansas City,Coachlight Square,-94.6057849,38.8833216,-94.48828688199659,39.02224895
South Kansas City,Country Lane Estates,-94.6057849,38.8833216,-94.59655656963588,38.92864045
South Kansas City,Crestwood,-94.6057849,38.8833216,-94.58072664680643,39.02809255
South Kansas City,Crossgates,-94.6057849,38.8833216,-94.5177080334352,38.9093708
South Kansas City,East Swope Highlands,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Fairlane,-94.6057849,38.8833216,-94.51050718085312,38.947430100000005
South Kansas City,Foxcroft-Glen Arbor,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Foxtown East,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Foxtown West,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Hickman Mills,-94.6057849,38.8833216,-94.51818,38.919625
South Kansas City,Hickman Mills South,-94.6057849,38.8833216,-94.51818,38.919625
South Kansas City,Hidden Valley,-94.6057849,38.8833216,-94.50542156332591,39.160586
South Kansas City,Highview Estates,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Hillcrest,-94.6057849,38.8833216,-94.51980289487787,38.94661485
South Kansas City,Holmes Park,-94.6057849,38.8833216,-94.5816437,39.0004833
South Kansas City,Kirkside,-94.6057849,38.8833216,-94.50154654392216,38.910135800000006
South Kansas City,Knobtown,-94.6057849,38.8833216,-94.4290044,38.965615
South Kansas City,Lea Manor,-94.6057849,38.8833216,-94.60548627101983,38.9505166
South Kansas City,Legacy East,-94.6057849,38.8833216,-94.57418032467645,38.9665675
South Kansas City,Lewis Heights,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Linden Hills-Indian Heights,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Little Blue Valley,-94.6057849,38.8833216,-94.4124514,38.9908397
South Kansas City,Loma Vista,-94.6057849,38.8833216,-94.50525891963781,38.968169700000004
South Kansas City,Longview,-94.6057849,38.8833216,-94.4850832,38.8785595
South Kansas City,Marlborough East,-94.6057849,38.8833216,-94.5679489,38.978759
South Kansas City,Marlborough Heights,-94.6057849,38.8833216,-94.5679489,38.978759
South Kansas City,Marlborough Pride,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Martin City,-94.6057849,38.8833216,-94.5963251,38.8852706
South Kansas City,Mission Lake,-94.6057849,38.8833216,-94.58318187425763,38.904743249999996
South Kansas City,Morningside,-94.6057849,38.8833216,-94.5866552,39.0171828
South Kansas City,Neighbors United For Action,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Newcastle,-94.6057849,38.8833216,-94.60209190047149,38.88781444999999
South Kansas City,New Santa Fe,-94.6057849,38.8833216,-94.6046782,38.9066737
South Kansas City,Noble-Gregory Ridge,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Oakwood,-94.6057849,38.8833216,-94.5568994,38.9433399
South Kansas City,Oak Meyer Garden,-94.6057849,38.8833216,-94.5818964,39.0077942
South Kansas City,Park Central-Research Hospital,-94.6057849,38.8833216,-94.57549857555122,39.0371088
South Kansas City,Red Bridge,-94.6057849,38.8833216,-94.59147101623435,38.921597500000004
South Kansas City,Red Bridge South,-94.6057849,38.8833216,-94.58098626062079,38.91373795
South Kansas City,Richards Gebaur,-94.6057849,38.8833216,-94.5591841,38.8434659
South Kansas City,Robandee-Fairwood,-94.6057849,38.8833216,-94.49289302280366,38.9529256
South Kansas City,Robandee South,-94.6057849,38.8833216,-94.48733325652975,38.9529196
South Kansas City,Rolling Meadows,-94.6057849,38.8833216,-94.43622418301834,39.01990995
South Kansas City,Romanelli West,-94.6057849,38.8833216,-94.6054496,39.006381
South Kansas City,Royal Oaks,-94.6057849,38.8833216,-94.53794143001161,38.931497
South Kansas City,Ruskin Heights,-94.6057849,38.8833216,-94.50182258399617,38.9227088
South Kansas City,Ruskin Hills,-94.6057849,38.8833216,-94.49464465676073,38.9199863
South Kansas City,Santa Fe Hills,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Sechrest,-94.6057849,38.8833216,-94.48878804053285,38.9821275
South Kansas City,Self-Help Neighborhood Council,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Stratford Estates,-94.6057849,38.8833216,-94.51748486366816,38.92682655
South Kansas City,Strupwood,-94.6057849,38.8833216,-94.50694392579604,38.9983326
South Kansas City,Swope Park Campus,-94.6057849,38.8833216,-94.54851682817193,39.00283695
South Kansas City,Swope Park-Winchester,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Swope Parkway-Elmwood,-94.6057849,38.8833216,-94.537522,39.0165141
South Kansas City,Terrace Lake Gardens,-94.6057849,38.8833216,-94.54048603433324,38.9210733
South Kansas City,Tri-Blenheim,-94.6057849,38.8833216,-94.5612756,39.0019581
South Kansas City,Timber Valley,-94.6057849,38.8833216,-94.43942438492434,39.0056635
South Kansas City,Tower Homes,-94.6057849,38.8833216,-94.5848147,38.9929862
South Kansas City,Town Fork Creek,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Troost Avenue Lawn,-94.6057849,38.8833216,No Data Found,No Data Found
South Kansas City,Unity Ridge,-94.6057849,38.8833216,-94.4236051,38.9488625
South Kansas City,Verona Hills,-94.6057849,38.8833216,-94.59953278785495,38.9152382
South Kansas City,Waldo,-94.6057849,38.8833216,-94.59283013755945,38.992491
South Kansas City,Waldo West,-94.6057849,38.8833216,-94.59283013755945,38.992491
South Kansas City,Walnut Grove,-94.6057849,38.8833216,-94.58210518677458,39.1048671
South Kansas City,Ward Estates,-94.6057849,38.8833216,-94.5975991,39.0261831
South Kansas City,Ward Parkway,-94.6057849,38.8833216,-94.6017894,38.9946343
South Kansas City,Ward Parkway Plaza,-94.6057849,38.8833216,-94.604024,38.981766
South Kansas City,Western Hills,-94.6057849,38.8833216,-94.59946057135934,38.9638578
South Kansas City,White Oak,-94.6057849,38.8833216,-94.46852775191041,38.9631273
South Kansas City,Woodbridge,-94.6057849,38.8833216,-94.59078801699363,38.8931045
South Kansas City,Wornall Homestead,-94.6057849,38.8833216,-94.5902908,39.0210895
